X,Y,Z_prev,variance_ratio,Variance_sq,is_improving,direction,dVariance_abs,target_step
-13000,13000,112,1,6140.426189,0,1,0,15
-13000,13000,312,0.968082303,5754.705159,0,1,2.501098548,-185
-13000,13000,147,1,6278.736875,0,1,0,-20
-13000,13000,347,0.809323546,4112.601552,0,1,15.10891256,-220
-13000,13000,107,1,5485.177501,0,1,0,20
-13000,13000,307,0.811625845,3613.286699,0,1,13.95136367,-180
-13000,13000,152,1,5606.550071,0,1,0,-25
-13000,13000,352,0.893263656,4473.578206,0,1,7.99208648,-225
-13000,13000,102,1,5576.242567,0,1,0,25
-13000,13000,302,1.017921299,5777.900524,1,1,1.338259424,-175
-13000,13000,157,1,5865.526549,0,1,0,-30
-13000,13000,357,0.966371841,5477.665876,0,1,2.575470608,-230
-13000,13000,100,1,6234.365895,0,1,0,27
-13000,13000,300,0.980371086,5992.020292,0,1,1.549859837,-173
-13000,13000,162,1,5623.223319,0,1,0,-35
-13000,13000,362,0.974741086,5342.737977,0,1,1.894119358,-235
-13000,13000,100,1,6231.144084,0,1,0,27
-13000,13000,300,0.983279264,6024.507573,0,1,1.319894728,-173
-13000,13000,167,1,5456.918263,0,1,0,-40
-13000,13000,367,0.960645832,5035.864715,0,1,2.907130028,-240
-13000,13000,100,1,5224.716441,0,1,0,27
-13000,13000,300,0.834976122,3642.59458,0,1,11.92828897,-173
-13000,13000,172,1,6105.544973,0,1,0,-45
-13000,13000,372,0.922987651,5201.351645,0,1,6.017589879,-245
-13000,13000,100,1,5784.181685,0,1,0,27
-13000,13000,300,0.985818515,5621.288399,0,1,1.078555919,-173
-13000,13000,177,1,5887.514471,0,1,0,-50
-13000,13000,377,0.935635484,5154.011172,0,1,4.938698372,-250
-13000,13000,100,1,6335.737342,0,1,0,27
